timestamp,n_customers,n_stations,inst_seed,beta,meta_seed,cost,runtime_s,n_routes,n_truck,n_drone,n_robot
2026-05-24T20:47:04,15,2,42,0.3,2,72.7104,3.47,1,7,3,0
2026-05-24T20:47:09,15,2,42,0.3,3,66.2009,5.19,1,15,0,0
2026-05-24T20:47:14,15,2,42,0.3,4,66.7551,4.88,1,13,1,0
2026-05-24T20:47:19,15,2,42,0.3,5,70.3412,4.32,1,10,2,0
2026-05-24T20:47:22,15,2,42,0.3,6,71.6354,3.44,1,12,1,0
2026-05-24T20:47:26,15,2,42,0.3,7,67.0339,4.4,1,13,1,0
2026-05-24T20:47:30,15,2,42,0.3,8,69.7144,3.19,1,8,2,0
2026-05-24T20:47:34,15,2,42,0.3,9,64.753,4.31,1,12,1,0
2026-05-24T20:47:37,15,2,42,0.5,0,66.7193,3.08,1,13,1,0
2026-05-24T20:47:39,15,2,42,0.5,1,71.3571,2.18,1,10,2,0
2026-05-24T20:47:43,15,2,42,0.5,2,70.3346,4.07,1,8,2,0
2026-05-24T20:47:46,15,2,42,0.5,3,66.7193,2.72,1,13,1,0
2026-05-24T20:47:50,15,2,42,0.5,4,67.1437,3.45,1,12,1,0
2026-05-24T20:47:56,15,2,42,0.5,5,64.753,6.03,1,12,1,0
2026-05-24T20:48:04,15,2,42,0.5,6,65.4583,8.03,1,13,1,0
2026-05-24T20:48:07,15,2,42,0.5,7,66.4685,3.61,1,13,1,0
2026-05-24T20:48:10,15,2,42,0.5,8,72.7954,2.93,1,15,0,0
2026-05-24T20:48:15,15,2,42,0.5,9,65.4583,5.22,1,13,1,0
2026-05-24T20:48:21,15,2,42,0.75,0,64.753,5.56,1,12,1,0
2026-05-24T20:48:27,15,2,42,0.75,1,65.4583,5.83,1,13,1,0
2026-05-24T20:48:33,15,2,42,0.75,2,63.8393,6.49,1,12,1,0
2026-05-24T20:48:37,15,2,42,0.75,3,65.4583,3.49,1,13,1,0
2026-05-24T20:48:44,15,2,42,0.75,4,66.4685,6.64,1,12,1,0
2026-05-24T20:48:51,15,2,42,0.75,5,66.1724,7.87,1,12,1,0
2026-05-24T20:49:00,15,2,42,0.75,6,69.8438,8.33,1,10,2,0
2026-05-24T20:49:06,15,2,42,0.75,7,66.7193,5.78,1,13,1,0
2026-05-24T20:49:12,15,2,42,0.75,8,66.1206,6.06,1,11,1,0
2026-05-24T20:49:21,15,2,42,0.75,9,64.753,9.58,1,12,1,0
2026-05-24T20:49:28,15,2,42,1.0,0,64.753,6.77,1,12,1,0
2026-05-24T20:49:36,15,2,42,1.0,1,65.4583,8.26,1,13,1,0
2026-05-24T20:49:44,15,2,42,1.0,2,64.753,7.54,1,12,1,0
2026-05-24T20:49:53,15,2,42,1.0,3,65.4583,9.38,1,13,1,0
2026-05-24T20:50:00,15,2,42,1.0,4,63.8393,6.91,1,12,1,0
2026-05-24T20:50:07,15,2,42,1.0,5,64.753,6.28,1,12,1,0
2026-05-24T20:50:12,15,2,42,1.0,6,64.8561,5.38,1,12,1,0
2026-05-24T20:50:18,15,2,42,1.0,7,65.4583,5.65,1,13,1,0
2026-05-24T20:50:22,15,2,42,1.0,8,64.753,4.57,1,12,1,0
2026-05-24T20:50:29,15,2,42,1.0,9,63.8393,6.29,1,12,1,0
2026-05-24T20:50:34,15,2,42,1.25,0,64.753,5.08,1,12,1,0
2026-05-24T20:50:40,15,2,42,1.25,1,65.4583,6.18,1,13,1,0
2026-05-24T20:50:47,15,2,42,1.25,2,67.0687,6.69,1,13,1,0
2026-05-24T20:50:53,15,2,42,1.25,3,67.0687,6.14,1,13,1,0
2026-05-24T20:50:59,15,2,42,1.25,4,63.8393,5.74,1,12,1,0
2026-05-24T20:51:04,15,2,42,1.25,5,64.753,5.64,1,12,1,0
2026-05-24T20:51:09,15,2,42,1.25,6,63.8393,4.74,1,11,1,0
2026-05-24T20:51:18,15,2,42,1.25,7,65.4583,8.59,1,13,1,0
2026-05-24T20:51:22,15,2,42,1.25,8,63.8393,4.54,1,11,1,0
2026-05-24T20:51:27,15,2,42,1.25,9,63.8393,5.2,1,12,1,0
2026-05-24T20:51:32,15,2,42,1.5,0,64.753,5.07,1,12,1,0
2026-05-24T20:51:39,15,2,42,1.5,1,65.4583,6.17,1,13,1,0
2026-05-24T20:51:45,15,2,42,1.5,2,67.0687,6.75,1,13,1,0
2026-05-24T20:51:52,15,2,42,1.5,3,67.0687,6.15,1,13,1,0
2026-05-24T20:51:57,15,2,42,1.5,4,63.8393,5.82,1,12,1,0
2026-05-24T20:52:03,15,2,42,1.5,5,64.753,5.69,1,12,1,0
2026-05-24T20:52:09,15,2,42,1.5,6,63.8393,5.48,1,11,1,0
2026-05-24T20:52:17,15,2,42,1.5,7,65.4583,8.6,1,13,1,0
2026-05-24T20:52:22,15,2,42,1.5,8,68.0273,4.85,1,12,1,0
2026-05-24T20:52:27,15,2,42,1.5,9,63.8393,5.25,1,12,1,0
2026-05-24T20:52:32,15,2,42,1.75,0,64.753,5.03,1,12,1,0
2026-05-24T20:52:39,15,2,42,1.75,1,65.4583,6.31,1,13,1,0
2026-05-24T20:52:46,15,2,42,1.75,2,67.0687,6.89,1,13,1,0
2026-05-24T20:52:52,15,2,42,1.75,3,67.0687,6.06,1,13,1,0
2026-05-24T20:52:58,15,2,42,1.75,4,63.8393,5.83,1,12,1,0
2026-05-24T20:53:03,15,2,42,1.75,5,64.753,5.56,1,12,1,0
2026-05-24T20:53:08,15,2,42,1.75,6,63.8393,4.97,1,11,1,0
2026-05-24T20:53:17,15,2,42,1.75,7,65.4583,8.55,1,13,1,0
2026-05-24T20:53:22,15,2,42,1.75,8,68.0273,4.84,1,12,1,0
2026-05-24T20:53:27,15,2,42,1.75,9,69.7845,5.26,1,13,1,0
2026-05-24T20:53:32,15,2,42,2.0,0,64.753,5.1,1,12,1,0
2026-05-24T20:53:38,15,2,42,2.0,1,65.4583,6.33,1,13,1,0
2026-05-24T20:53:45,15,2,42,2.0,2,67.0687,6.9,1,13,1,0
2026-05-24T20:53:51,15,2,42,2.0,3,67.0687,6.14,1,13,1,0
2026-05-24T20:53:57,15,2,42,2.0,4,63.8393,5.71,1,12,1,0
2026-05-24T20:54:03,15,2,42,2.0,5,64.753,5.72,1,12,1,0
2026-05-24T20:54:08,15,2,42,2.0,6,63.8393,5.18,1,11,1,0
2026-05-24T20:54:17,15,2,42,2.0,7,65.4583,8.73,1,13,1,0
2026-05-24T20:54:22,15,2,42,2.0,8,68.0273,4.73,1,12,1,0
2026-05-24T20:54:27,15,2,42,2.0,9,69.7845,5.18,1,13,1,0
2026-05-24T20:54:32,15,2,42,3.0,0,64.753,5.37,1,12,1,0
2026-05-24T20:54:39,15,2,42,3.0,1,65.4583,6.58,1,13,1,0
2026-05-24T20:54:46,15,2,42,3.0,2,67.0687,6.89,1,13,1,0
2026-05-24T20:54:52,15,2,42,3.0,3,67.0687,6.36,1,13,1,0
2026-05-24T20:54:58,15,2,42,3.0,4,63.8393,5.66,1,12,1,0
2026-05-24T20:55:03,15,2,42,3.0,5,64.753,5.57,1,12,1,0
2026-05-24T20:55:08,15,2,42,3.0,6,63.8393,5.02,1,11,1,0
2026-05-24T20:55:17,15,2,42,3.0,7,65.4583,8.71,1,13,1,0
2026-05-24T20:55:22,15,2,42,3.0,8,68.0273,4.95,1,12,1,0
2026-05-24T20:55:27,15,2,42,3.0,9,69.7845,5.27,1,13,1,0
2026-05-24T20:55:33,15,2,42,5.0,0,64.753,5.15,1,12,1,0
2026-05-24T20:55:39,15,2,42,5.0,1,65.4583,6.47,1,13,1,0
2026-05-24T20:55:46,15,2,42,5.0,2,67.0687,6.79,1,13,1,0
2026-05-24T20:55:52,15,2,42,5.0,3,67.0687,6.17,1,13,1,0
2026-05-24T20:55:58,15,2,42,5.0,4,63.8393,5.69,1,12,1,0
2026-05-24T20:56:04,15,2,42,5.0,5,64.753,5.69,1,12,1,0
2026-05-24T20:56:09,15,2,42,5.0,6,63.8393,5.14,1,11,1,0
2026-05-24T20:56:17,15,2,42,5.0,7,65.4583,8.66,1,13,1,0
2026-05-24T20:56:22,15,2,42,5.0,8,68.0273,4.92,1,12,1,0
2026-05-24T20:56:28,15,2,42,5.0,9,69.7845,5.39,1,13,1,0
2026-05-24T20:56:33,15,2,42,8.0,0,64.753,5.15,1,12,1,0
2026-05-24T20:56:39,15,2,42,8.0,1,65.4583,6.46,1,13,1,0
2026-05-24T20:56:46,15,2,42,8.0,2,67.0687,6.92,1,13,1,0
2026-05-24T20:56:52,15,2,42,8.0,3,67.0687,6.03,1,13,1,0
2026-05-24T20:56:58,15,2,42,8.0,4,63.8393,5.84,1,12,1,0
2026-05-24T20:57:04,15,2,42,8.0,5,64.753,5.6,1,12,1,0
2026-05-24T20:57:09,15,2,42,8.0,6,63.8393,5.04,1,11,1,0
2026-05-24T20:57:18,15,2,42,8.0,7,65.4583,8.71,1,13,1,0
2026-05-24T20:57:22,15,2,42,8.0,8,68.0273,4.76,1,12,1,0
2026-05-24T20:57:28,15,2,42,8.0,9,69.7845,5.33,1,13,1,0
