timestamp,instance_label,n_customers,n_stations,inst_seed,meta_seed,phase_I_cost,iteration,current_cost,incumbent_cost,elapsed_s,improved_by
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,38,47.50600540895138,42.807875881049725,0.884,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,39,63.223013965868404,42.807875881049725,0.886,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,40,47.50600540895138,42.807875881049725,0.945,
2026-05-23T17:45:25,small,8,2,42,42,59.39886696909221,41,54.67414843351345,42.807875881049725,0.947,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,0,54.27867565964509,54.27867565964509,0.006,II
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,1,55.07218241195794,54.27867565964509,0.018,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,2,67.35901644484278,54.27867565964509,0.02,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,3,65.44273801248666,54.27867565964509,0.022,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,4,51.93984178885529,51.93984178885529,0.051,III
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,5,54.25526310434505,51.93984178885529,0.054,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,6,61.73265902972789,51.93984178885529,0.06,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,7,42.807875881049725,42.807875881049725,0.39,III
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,8,42.807875881049725,42.807875881049725,0.514,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,9,42.807875881049725,42.807875881049725,0.582,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,10,42.807875881049725,42.807875881049725,0.584,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,11,49.35707179646171,42.807875881049725,0.591,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,12,42.807875881049725,42.807875881049725,0.71,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,13,42.807875881049725,42.807875881049725,0.711,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,14,63.81010864724775,42.807875881049725,0.714,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,15,63.81010864724775,42.807875881049725,0.716,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,16,58.08022419458385,42.807875881049725,0.718,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,17,56.60260401852625,42.807875881049725,0.728,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,18,56.60260401852625,42.807875881049725,0.733,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,19,42.807875881049725,42.807875881049725,0.744,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,20,42.807875881049725,42.807875881049725,0.746,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,21,42.807875881049725,42.807875881049725,0.889,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,22,42.807875881049725,42.807875881049725,0.891,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,23,42.807875881049725,42.807875881049725,0.954,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,24,59.09657380603248,42.807875881049725,0.956,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,25,59.09657380603248,42.807875881049725,0.958,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,26,42.807875881049725,42.807875881049725,0.959,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,27,69.81480103764761,42.807875881049725,0.97,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,28,69.81480103764761,42.807875881049725,0.98,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,29,56.60260401852625,42.807875881049725,0.982,
2026-05-23T17:45:26,small,8,2,42,99,59.39886696909221,30,48.94786731237618,42.807875881049725,0.983,
